No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
348,350 microns (SPIRE),1065.6,+/-163.1,milliJy,8.57E11,1.07,0.163,0.163,,,+/-1.63E-01,Jy,2014ApJ...783..135A,5 sigma,350 microns,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data
349,350 microns Herschel,1.07,+/-0.267,Jy,8.57E11,1.07,0.267,0.267,,,+/-2.67E-01,Jy,2010A&A...518L..53B,uncertainty,350 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
350,500 microns (SPIRE),1280.9,+/-194.0,milliJy,6.0E11,1.28,0.194,0.194,,,+/-1.94E-01,Jy,2014ApJ...783..135A,5 sigma,500 microns,Broad-band measurement,,Flux in fixed aperture,,From reprocessed raw data
351,500 microns Herschel,1.43,+/-0.375,Jy,6.0E11,1.43,0.375,0.375,,,+/-3.75E-01,Jy,2010A&A...518L..53B,uncertainty,500 microns,Broad-band measurement,,Flux integrated from map,,From new raw data
352,1 mm (IRAM 30m),1312.31,+/-2.78,milliJy,3.0E11,1.31,0.00278,0.00278,,,+/-2.78E-03,Jy,2010A&A...518A...9O,uncertainty,1 mm,Broad-band measurement,,Flux integrated from map,,From new raw data
353,229 GHz (IRAM),1.51,+/-0.08,Jy,2.29E11,1.51,0.08,0.08,,,+/-8.00E-02,Jy,2014A&A...566A..59A,uncertainty,229 GHz,Broad-band measurement,12 30 49.423 +12 23 28.04 (J2000),Total flux,,From new raw data
355,3 mm (VLBI),0.73,,Jy,1.0E11,0.73,,,,,,Jy,1998AJ....116....8L,no uncertainty reported,3   mm,Broad-band measurement,,Total flux,,From new raw data
356,3 mm (VLBI),0.5,,Jy,1.0E11,0.5,,,,,,Jy,1998AJ....116....8L,no uncertainty reported,3   mm,Broad-band measurement,,Total flux,,From new raw data
357,3 mm (IRAM 30m),2347.13,+/-1.83,milliJy,9.99E10,2.35,0.00183,0.00183,,,+/-1.83E-03,Jy,2010A&A...518A...9O,uncertainty,3 mm,Broad-band measurement,,Flux integrated from map,,From new raw data
358,94 GHz (WMAP),7.2,+/-0.4,Jy,9.4E10,7.2,0.4,0.4,,,+/-4.00E-01,Jy,2009ApJ...694..222C,1 sigma,94 GHz,Broad-band measurement,12 30 49 +12 23 00 (J2000),Flux integrated from map,,From new raw data
359,94 GHz (WMAP),6.5,+/-0.40,Jy,9.4E10,6.5,0.4,0.4,,,+/-4.00E-01,Jy,2011ApJS..192...15G,uncertainty,94 GHz,Broad-band measurement,12 30 51 +12 23 (J2000),Flux integrated from map,,From new raw data
360,94 GHz (WMAP),5.3,+/-0.6,Jy,9.4E10,5.3,0.6,0.6,,,+/-6.00E-01,Jy,2003ApJS..148...97B,uncertainty,94   GHz,Broad-band measurement,123051.3 +122309 (J2000),Flux integrated from map,,From new raw data
361,W (WMAP),6.2,+/-0.4,Jy,9.4E10,6.2,0.4,0.4,,,+/-4.00E-01,Jy,2009ApJS..180..283W,uncertainty,94 GHz,Broad-band measurement,12 30 51 +12 23 00 (J2000),Flux integrated from map,,From new raw data
362,90 GHz (GBT),9.1,+/-1.37,Jy,9.0E10,9.1,1.37,1.37,,,+/-1.37E+00,Jy,2009ApJ...701.1872C,rms uncertainty,90.0 GHz,Broad-band measurement,,Flux integrated from map,,From new raw data
363,89600 MHz,6.78,+/-.26,Jy,8.96E10,6.78,0.26,0.26,,,+/-2.60E-01,Jy,1981AJ.....86.1306G,uncertainty,89600   MHz,Broad-band measurement,122817.57 +124001.7 (B1950),Not reported in paper,From Kuhr catalog (1981A&AS...45..367K),Transformed from previously published data
364,89 GHz (IRAM),1880.0,+/-100,milliJy,8.9E10,1.88,0.1,0.1,,,+/-1.00E-01,Jy,2005MNRAS.363..692D,uncertainty,89   GHz,Broad-band measurement,,Flux integrated from map,,Averaged new and previously published data
365,86 GHz (IRAM),4.46,+/-0.22,Jy,8.62E10,4.46,0.22,0.22,,,+/-2.20E-01,Jy,2014A&A...566A..59A,uncertainty,86.2 GHz,Broad-band measurement,12 30 49.423 +12 23 28.04 (J2000),Total flux,,From new raw data
366,86 GHz (VLBI),4.16,,Jy,8.6E10,4.16,,,,,,Jy,2008AJ....136..159L,no uncertainty reported,86 GHz,Broad-band measurement,12 30 49.42338 +12 23 28.0439 (J2000),Total flux,,From new raw data
367,86 GHz (IRAM),3.06,+/-0.15,Jy,8.6E10,3.06,0.15,0.15,,,+/-1.50E-01,Jy,2010ApJS..189....1A,uncertainty,86 GHz,Broad-band measurement,12 30 49.4233 +12 23 28.043 (J2000),Flux integrated from map,,From new raw data
368,3.5 mm (NRAO),8.55,+/-0.35,Jy,8.57E10,8.55,0.35,0.35,,,+/-3.50E-01,Jy,1975ApJ...196..347H,internal error,3.5       mm,Broad-band measurement,,Total flux; Beam filling or dilution corrected,,From new raw data
