No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
135,2-7 keV Chandra,5.5728E-12,+/-1.7697E-14,erg/cm^2/s,9.19E17,6.07E-7,1.93E-9,1.93E-9,,,+/-1.93E-09,Jy,2020CSC...C2..0000:,68% confidence,3.8        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;var;ext,From new raw data; Uncorrected for known sources in beam
136,3-4 keV (MAXI),3.052E-11,+/-0.40E-12,erg/cm^2^/s,8.46E17,3.61E-6,4.73E-8,4.73E-8,,,+/-4.73E-08,Jy,2018ApJS..238...32K,1 sigma,3.50 keV,Broad-band measurement,201.366 -43.012 (J2000),From fitting to map,Detection sig. = 76.70; 7yr avg flux,From new raw data; NED frequency assigned to mid-point ofband in keV
137,0.5-7 keV Chandra,4.403E-12,+/-4.1596E-14,erg/cm^2/s,5.56E17,7.92E-7,7.48E-9,7.48E-9,,,+/-7.48E-09,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;var;ext,From new raw data; Uncorrected for known sources in beam
138,0.5-7 keV Chandra,1.0169E-11,+/-2.2176E-14,erg/cm^2/s,5.56E17,1.83E-6,3.99E-9,3.99E-9,,,+/-3.99E-09,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;var;ext,From new raw data; Uncorrected for known sources in beam
139,0.5-7 keV Chandra,3.3408E-13,+/-1.2291E-14,erg/cm^2/s,5.56E17,6.01E-8,2.21E-9,2.21E-9,,,+/-2.21E-09,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,From fitting to map,flux_aper90;var;ext,From new raw data; Uncorrected for known sources in beam
140,0.5-7 keV Chandra,4.4892E-12,+/-1.5933E-14,erg/cm^2/s,5.56E17,8.07E-7,2.86E-9,2.86E-9,,,+/-2.86E-09,Jy,2020CSC...C2..0000:,68% confidence,2.3        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;var;ext,From new raw data; Uncorrected for known sources in beam
141,0.2-4 keV (EINSTEIN),7.842E-12,,ergs sec^-1^ cm^-2^,5.25E17,1.49E-6,,,,,,Jy,1992ApJS...80..531F,no uncertainty reported,2.1    keV,Broad-band measurement; synthetic band,13 22 31.9 -42 45 32 (B1950),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
142,0.2-4 keV (EINSTEIN),3.9844E-11,,ergs sec^-1^ cm^-2^,5.25E17,7.59E-6,,,,,,Jy,1992ApJS...80..531F,no uncertainty reported,2.1    keV,Broad-band measurement; synthetic band,13 22 33 -42 45 35 (B1950),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
143,1.2-2 keV Chandra,2.6919E-14,+/-1.5799E-15,erg/cm^2/s,3.77E17,7.14E-9,4.19E-10,4.19E-10,,,+/-4.19E-10,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper;var;ext,From new raw data; Uncorrected for known sources in beam
144,1.2-2 keV Chandra,4.0725E-14,+/-6.8288E-16,erg/cm^2/s,3.77E17,1.08E-8,1.81E-10,1.81E-10,,,+/-1.81E-10,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;var;ext,From new raw data; Uncorrected for known sources in beam
145,1.2-2 keV Chandra,4.6176E-16,+/-2.6733E-16,erg/cm^2/s,3.77E17,1.22E-10,7.09E-11,7.09E-11,,,+/-7.09E-11,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,From fitting to map,flux_aper90;var;ext,From new raw data; Uncorrected for known sources in beam
146,1.2-2 keV Chandra,7.8964E-15,+/-3.1618E-16,erg/cm^2/s,3.77E17,2.09E-9,8.38E-11,8.38E-11,,,+/-8.38E-11,Jy,2020CSC...C2..0000:,68% confidence,1.56       keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;var;ext,From new raw data; Uncorrected for known sources in beam
147,0.1-10 keV Chandra,2.8206E-11,+/-1.2110E-13,erg/cm^2/s,3.63E17,7.78E-6,3.34E-8,3.34E-8,,,+/-3.34E-08,Jy,2020CSC...C2..0000:,68% confidence,1.5        keV,Broad-band measurement,,Flux in fixed aperture,flux_aper_avg;var;ext,From new raw data; Uncorrected for known sources in beam
148,0.1-10 keV Chandra,2.6096E-11,+/-1.2004E-13,erg/cm^2/s,3.63E17,7.19E-6,3.31E-8,3.31E-8,,,+/-3.31E-08,Jy,2020CSC...C2..0000:,68% confidence,1.5        keV,Broad-band measurement,,From fitting to map,flux_aper90_avg;var;ext,From new raw data; Uncorrected for known sources in beam
149,0.1-2.4 keV (ROSAT),9.08E-12,+/-9.06E-13,ergs sec^-1^ cm^-2^,3.25E17,2.79E-6,2.79E-7,2.79E-7,,,+/-2.79E-07,Jy,1994A&A...281..355B,based on count statistics only,1.3   keV,Broad-band measurement; synthetic band,,Flux integrated from map,,From new raw data; Extinction-corrected for Milky Way
150,0.5-2 keV (Suzaku),2.33E-12,,ergs/cm^2^/s,3.02E17,7.72E-7,,,,,,Jy,2007ApJ...665..209M,no uncertainty reported,1.25   keV,Broad-band measurement,,From fitting to map,Nuclear flux,From new raw data; NED frequency assigned to mid-point ofband in keV
